contrast,correlation,energy,homogeneity,image_id
0.25326033464566927,0.9791339454347098,0.3732935180360386,0.8795706200787403,ISIC_0026145
0.20675442913385828,0.9729826354804698,0.46055694151880333,0.8992802657480314,ISIC_0025447
0.4398375984251969,0.9792747077133928,0.26555667283092116,0.8068846755086043,ISIC_0034136
0.49489419291338577,0.8917075034818458,0.3109483759975277,0.8205935943844094,ISIC_0029929
0.1983882874015748,0.9748993348627527,0.3879320298503194,0.902503690944882,ISIC_0032062
0.553826279527559,0.9518997701140897,0.34842052666167006,0.7899607059037785,ISIC_0029127
0.09657972440944881,0.9710482284143079,0.5954138090384737,0.9526697834645669,ISIC_0033991
0.4085875984251968,0.9631132687500243,0.38611203228222296,0.8476378539551594,ISIC_0032907
0.31379183070866146,0.8537267262625249,0.4679509422134689,0.8521838090551181,ISIC_0027962
0.3062869094488189,0.9350719633773207,0.43809459344573326,0.851359498031496,ISIC_0031330
0.2941067913385827,0.9422952869278547,0.4155316244041321,0.8646771286118928,ISIC_0032484
0.4469734251968504,0.9186304316581411,0.46091717218059786,0.8455900724160046,ISIC_0031665
0.6434547244094488,0.8810723637800304,0.3264288929007868,0.7802723983826345,ISIC_0025932
0.20435531496062992,0.9592599887911473,0.4284218572924444,0.9025467519685039,ISIC_0028488
0.28518700787401574,0.8940842504862112,0.5124720241614363,0.864271653543307,ISIC_0029957
0.32012795275590555,0.9767876672936179,0.3776945548797941,0.8592047600384795,ISIC_0033053
1.7330831692913387,0.8930638714198527,0.18147060172626572,0.638916297145874,ISIC_0031334
0.25393700787401574,0.9251565905091343,0.5546287850672752,0.8793061023622046,ISIC_0025935
0.32689468503937014,0.9817641467709517,0.31103623580486894,0.860341715805038,ISIC_0033275
0.5880905511811023,0.8786806447673774,0.27783719884549496,0.7691563936295294,ISIC_0026556
0.3195127952755905,0.9579089421000263,0.30178301849416456,0.8453000298393131,ISIC_0026520
0.2808193897637795,0.9224928960280523,0.4145009936353429,0.8638631166049097,ISIC_0026733
0.4091412401574803,0.9884470270837347,0.33059681909619365,0.8396512418943957,ISIC_0029100
0.3838582677165354,0.8909094475662986,0.3723900405355799,0.832904411764706,ISIC_0029022
0.3713090551181102,0.900650010413293,0.323959947630336,0.8323739845726299,ISIC_0031578
0.25959645669291337,0.8299100451485066,0.453676731612154,0.8746309055118111,ISIC_0029462
0.23148375984251965,0.9886747804112287,0.42219420857896456,0.9012842317044927,ISIC_0029388
0.3463951771653543,0.7056680819614529,0.4511114369244623,0.8349224901574804,ISIC_0033660
0.26002706692913385,0.8326623682967297,0.4962673236054622,0.8743565452755907,ISIC_0031431
0.234498031496063,0.9672073527134716,0.4524056066470112,0.8925602130616026,ISIC_0027694
0.5238065944881889,0.9615626309264421,0.369595754903078,0.8309630825056643,ISIC_0029993
0.7869709645669292,0.840815552863124,0.295451095367064,0.7485709471195372,ISIC_0024623
